Algorithm,Stream_Type,History_Mode,Run,Config,Latency,Run
dFuzzyStream,test,1,1,1,58,dFuzzyStream_test_1_1
dFuzzyStream,test,0,1,1,60,dFuzzyStream_test_0_1
dFuzzyStream,train,0,1,1,60,dFuzzyStream_train_0_1
dFuzzyStream,train,1,1,1,33,dFuzzyStream_train_1_1
dFuzzyStream,test,1,1,2,60,dFuzzyStream_test_1_2
dFuzzyStream,test,0,1,2,60,dFuzzyStream_test_0_2
dFuzzyStream,train,0,1,2,59,dFuzzyStream_train_0_2
dFuzzyStream,train,1,1,2,60,dFuzzyStream_train_1_2
dFuzzyStream,test,1,1,3,60,dFuzzyStream_test_1_3
dFuzzyStream,test,0,1,3,59,dFuzzyStream_test_0_3
dFuzzyStream,train,0,1,3,60,dFuzzyStream_train_0_3
dFuzzyStream,train,1,1,3,66,dFuzzyStream_train_1_3
SFCM,test,1,2,1,222,SFCM_test_1_1
SFCM,test,1,2,1,282,SFCM_test_1_1
SFCM,train,1,1,1,300,SFCM_train_1_1
SFCM,train,0,1,1,306,SFCM_train_0_1
SFCM,test,0,1,1,72,SFCM_test_0_1
SFCM,test,1,1,2,90,SFCM_test_1_2
SFCM,train,1,1,2,264,SFCM_train_1_2
SFCM,train,1,2,2,288,SFCM_train_1_2
SFCM,train,0,1,2,210,SFCM_train_0_2
SFCM,test,0,1,2,276,SFCM_test_0_2
SFCM,test,1,3,3,300,SFCM_test_1_3
SFCM,train,1,2,3,96,SFCM_train_1_3
SFCM,train,0,1,3,270,SFCM_train_0_3
SFCM,test,0,1,3,270,SFCM_test_0_3
SFCM,test,0,2,3,300,SFCM_test_0_3
Umicro,test,0,1,1,306,Umicro_test_0_1
Umicro,train,0,1,1,330,Umicro_train_0_1
Umicro,test,1,1,1,360,Umicro_test_1_1
Umicro,train,1,1,1,312,Umicro_train_1_1
Umicro,test,0,1,2,360,Umicro_test_0_2
Umicro,train,0,1,2,378,Umicro_train_0_2
Umicro,test,0,1,3,312,Umicro_test_0_3
Umicro,train,0,1,3,360,Umicro_train_0_3
Umicro,test,1,1,2,360,Umicro_test_1_2
Umicro,train,1,1,2,324,Umicro_train_1_2
Umicro,test,1,1,3,360,Umicro_test_1_3
Umicro,train,1,1,3,420,Umicro_train_1_3
